Date,region_name,municipality,# protesters,# apprehended,Repertoire,Repertoire2,Duration,Pol,Econ,Social,Cultur,Legal,Environ,Civic,Civic+,Suppression,Pre-Emptive Suppression,PartyOrg,PartyOrgName,OtherPartyName,Notes,Latitude,Longitude
2007-04-05 00:00:00,Нижегородская,Нижний Новгород,70,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,56.326797,44.006516
2007-04-05 00:00:00,Псковская,Псков,20,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,57.8136,28.3496
2007-04-05 00:00:00,Свердловская,Екатеринбург,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,56.8519,60.6122
2007-04-06 00:00:00,Кемеровская,Кемерово,6,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,55.3333,86.0833
2007-04-06 00:00:00,Рязанская,Рязань,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,54.6269,39.6916
2007-04-07 00:00:00,Удмуртская,Ижевск,600,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,56.8498,53.2045
2007-04-08 00:00:00,Ульяновская,Ульяновск,300,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,54.314192,48.403132
2007-04-09 00:00:00,Свердловская,Екатеринбург,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,56.8519,60.6122
2007-04-10 00:00:00,Удмуртская,Ижевск,0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,56.8498,53.2045
2007-04-11 00:00:00,Псковская,Псков,100,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,57.8136,28.3496
